pref	genome	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumoniae-pangenome.S_pseudosimplitigs.k_9.d_4	spneumoniae-pangenome	pseudosimplitigs	9	4	2.41	0.03	2.21	92%	86704	0	0	2.449189
spneumoniae-pangenome.S_pseudosimplitigs.k_9.d_5	spneumoniae-pangenome	pseudosimplitigs	9	5	2.60	0.03	2.37	92%	84896	0	0	2.653275
spneumoniae-pangenome.S_streaming.k_9.d_na	spneumoniae-pangenome	streaming	9	na	3.10	0.01	3.03	98%	9104	0	0	3.165407
spneumoniae-pangenome.S_greedy.k_10.d_na	spneumoniae-pangenome	greedy	10	na	2.46	0.04	1.90	78%	154112	0	0	2.562569
spneumoniae-pangenome.S_pseudosimplitigs.k_10.d_1	spneumoniae-pangenome	pseudosimplitigs	10	1	7.92	0.10	3.84	49%	204032	0	0	8.958408
spneumoniae-pangenome.S_pseudosimplitigs.k_10.d_2	spneumoniae-pangenome	pseudosimplitigs	10	2	4.24	0.05	3.71	88%	183200	0	0	4.291043
spneumoniae-pangenome.S_pseudosimplitigs.k_10.d_3	spneumoniae-pangenome	pseudosimplitigs	10	3	5.43	0.05	4.88	90%	216704	0	0	5.478314
spneumoniae-pangenome.S_pseudosimplitigs.k_10.d_4	spneumoniae-pangenome	pseudosimplitigs	10	4	4.48	0.05	3.93	89%	218624	0	0	4.532062
spneumoniae-pangenome.S_pseudosimplitigs.k_10.d_5	spneumoniae-pangenome	pseudosimplitigs	10	5	4.58	0.05	4.03	89%	220112	0	0	4.625404
spneumoniae-pangenome.S_streaming.k_10.d_na	spneumoniae-pangenome	streaming	10	na	5.66	0.02	5.24	92%	28912	0	0	5.746594
spneumoniae-pangenome.S_greedy.k_11.d_na	spneumoniae-pangenome	greedy	11	na	4.75	0.09	3.87	83%	518688	0	0	4.801193
spneumoniae-pangenome.S_pseudosimplitigs.k_11.d_1	spneumoniae-pangenome	pseudosimplitigs	11	1	8.31	0.12	6.92	84%	501664	0	0	8.340287
spneumoniae-pangenome.S_pseudosimplitigs.k_11.d_2	spneumoniae-pangenome	pseudosimplitigs	11	2	8.27	0.12	6.89	84%	497440	0	0	8.30382
spneumoniae-pangenome.S_pseudosimplitigs.k_11.d_3	spneumoniae-pangenome	pseudosimplitigs	11	3	9.72	0.13	8.32	87%	509408	0	0	9.752793
spneumoniae-pangenome.S_pseudosimplitigs.k_11.d_4	spneumoniae-pangenome	pseudosimplitigs	11	4	18.48	0.15	17.08	93%	502512	0	0	18.515839
spneumoniae-pangenome.S_pseudosimplitigs.k_11.d_5	spneumoniae-pangenome	pseudosimplitigs	11	5	9.50	0.34	7.90	86%	500528	0	0	9.532795
spneumoniae-pangenome.S_streaming.k_11.d_na	spneumoniae-pangenome	streaming	11	na	6.78	0.03	6.60	97%	64288	0	0	6.972201
spneumoniae-pangenome.S_greedy.k_12.d_na	spneumoniae-pangenome	greedy	12	na	9.87	0.22	8.00	83%	1128320	0	0	9.931176
spneumoniae-pangenome.S_pseudosimplitigs.k_12.d_1	spneumoniae-pangenome	pseudosimplitigs	12	1	17.15	0.26	12.69	75%	775456	0	0	17.25806
spneumoniae-pangenome.S_pseudosimplitigs.k_12.d_2	spneumoniae-pangenome	pseudosimplitigs	12	2	15.71	0.25	12.72	82%	1087408	0	0	15.773284
spneumoniae-pangenome.S_pseudosimplitigs.k_12.d_3	spneumoniae-pangenome	pseudosimplitigs	12	3	16.09	0.27	13.13	83%	1093648	0	0	16.153154
spneumoniae-pangenome.S_pseudosimplitigs.k_12.d_4	spneumoniae-pangenome	pseudosimplitigs	12	4	17.38	0.27	13.26	77%	837152	0	0	17.443193
spneumoniae-pangenome.S_pseudosimplitigs.k_12.d_5	spneumoniae-pangenome	pseudosimplitigs	12	5	25.65	6.20	16.50	88%	1140880	0	0	25.70144
spneumoniae-pangenome.S_streaming.k_12.d_na	spneumoniae-pangenome	streaming	12	na	7.46	0.04	7.31	98%	209088	0	0	7.518619
spneumoniae-pangenome.S_greedy.k_13.d_na	spneumoniae-pangenome	greedy	13	na	16.98	0.62	13.17	81%	1446080	0	0	17.019794
spneumoniae-pangenome.S_pseudosimplitigs.k_13.d_1	spneumoniae-pangenome	pseudosimplitigs	13	1	21.99	0.34	17.10	79%	1318528	0	0	22.035195
spneumoniae-pangenome.S_pseudosimplitigs.k_13.d_2	spneumoniae-pangenome	pseudosimplitigs	13	2	22.11	0.40	17.47	80%	1235936	0	0	22.14027
spneumoniae-pangenome.S_pseudosimplitigs.k_13.d_3	spneumoniae-pangenome	pseudosimplitigs	13	3	22.99	0.39	18.49	82%	1433488	0	0	23.033654
spneumoniae-pangenome.S_pseudosimplitigs.k_13.d_4	spneumoniae-pangenome	pseudosimplitigs	13	4	26.26	0.39	21.96	85%	1215504	0	0	26.279781
spneumoniae-pangenome.S_pseudosimplitigs.k_13.d_5	spneumoniae-pangenome	pseudosimplitigs	13	5	39.83	11.03	24.91	90%	1536928	0	0	39.856654
spneumoniae-pangenome.S_streaming.k_13.d_na	spneumoniae-pangenome	streaming	13	na	7.94	0.07	7.74	98%	262256	0	0	8.000583
spneumoniae-pangenome.S_greedy.k_14.d_na	spneumoniae-pangenome	greedy	14	na	20.76	0.74	15.76	79%	1883184	0	0	20.8379
spneumoniae-pangenome.S_pseudosimplitigs.k_14.d_1	spneumoniae-pangenome	pseudosimplitigs	14	1	25.56	0.44	20.23	80%	1445936	0	0	25.58099
spneumoniae-pangenome.S_pseudosimplitigs.k_14.d_2	spneumoniae-pangenome	pseudosimplitigs	14	2	25.66	0.40	20.59	81%	1655248	0	0	25.693207
spneumoniae-pangenome.S_pseudosimplitigs.k_14.d_3	spneumoniae-pangenome	pseudosimplitigs	14	3	26.80	0.40	21.70	82%	1618032	0	0	26.883471
spneumoniae-pangenome.S_pseudosimplitigs.k_14.d_4	spneumoniae-pangenome	pseudosimplitigs	14	4	29.14	0.41	24.13	84%	1400272	0	0	29.165542
spneumoniae-pangenome.S_pseudosimplitigs.k_14.d_5	spneumoniae-pangenome	pseudosimplitigs	14	5	42.49	4.55	31.56	85%	1322272	0	0	42.583669
spneumoniae-pangenome.S_streaming.k_14.d_na	spneumoniae-pangenome	streaming	14	na	8.47	0.07	7.63	90%	295120	0	0	8.569572
spneumoniae-pangenome.S_greedy.k_15.d_na	spneumoniae-pangenome	greedy	15	na	26.82	3.75	17.09	77%	1458752	0	0	26.848111
spneumoniae-pangenome.S_pseudosimplitigs.k_15.d_1	spneumoniae-pangenome	pseudosimplitigs	15	1	35.79	2.65	24.15	74%	1209552	0	0	37.221978
spneumoniae-pangenome.S_pseudosimplitigs.k_15.d_2	spneumoniae-pangenome	pseudosimplitigs	15	2	28.59	0.67	22.89	82%	1679936	0	0	28.639573
spneumoniae-pangenome.S_pseudosimplitigs.k_15.d_3	spneumoniae-pangenome	pseudosimplitigs	15	3	28.04	0.47	22.54	82%	1526688	0	0	28.127218
spneumoniae-pangenome.S_pseudosimplitigs.k_15.d_4	spneumoniae-pangenome	pseudosimplitigs	15	4	29.11	0.44	23.89	83%	1725824	0	0	29.148573
spneumoniae-pangenome.S_pseudosimplitigs.k_15.d_5	spneumoniae-pangenome	pseudosimplitigs	15	5	36.59	0.51	31.30	86%	1458032	0	0	36.644979
spneumoniae-pangenome.S_streaming.k_15.d_na	spneumoniae-pangenome	streaming	15	na	8.47	0.07	7.93	94%	415072	0	0	8.496139
spneumoniae-pangenome.S_greedy.k_16.d_na	spneumoniae-pangenome	greedy	16	na	24.58	1.08	18.78	80%	1878464	0	0	24.620348
spneumoniae-pangenome.S_pseudosimplitigs.k_16.d_1	spneumoniae-pangenome	pseudosimplitigs	16	1	28.36	0.46	23.03	82%	1583648	0	0	28.448337
spneumoniae-pangenome.S_pseudosimplitigs.k_16.d_2	spneumoniae-pangenome	pseudosimplitigs	16	2	27.79	0.44	22.51	82%	1873776	0	0	27.835441
spneumoniae-pangenome.S_pseudosimplitigs.k_16.d_3	spneumoniae-pangenome	pseudosimplitigs	16	3	28.70	0.42	23.40	83%	2064608	0	0	28.758229
spneumoniae-pangenome.S_pseudosimplitigs.k_16.d_4	spneumoniae-pangenome	pseudosimplitigs	16	4	30.82	0.74	24.84	83%	1401216	0	0	30.843443
spneumoniae-pangenome.S_pseudosimplitigs.k_16.d_5	spneumoniae-pangenome	pseudosimplitigs	16	5	33.49	0.47	28.04	85%	1936704	0	0	33.531241
spneumoniae-pangenome.S_streaming.k_16.d_na	spneumoniae-pangenome	streaming	16	na	8.24	0.08	7.62	93%	378976	0	0	8.286591
spneumoniae-pangenome.S_greedy.k_17.d_na	spneumoniae-pangenome	greedy	17	na	30.03	4.34	19.31	78%	2166448	0	0	30.07603
spneumoniae-pangenome.S_pseudosimplitigs.k_17.d_1	spneumoniae-pangenome	pseudosimplitigs	17	1	28.75	0.45	23.35	82%	1700208	0	0	28.799024
spneumoniae-pangenome.S_pseudosimplitigs.k_17.d_2	spneumoniae-pangenome	pseudosimplitigs	17	2	29.99	0.49	24.48	83%	1555200	0	0	30.08614
spneumoniae-pangenome.S_pseudosimplitigs.k_17.d_3	spneumoniae-pangenome	pseudosimplitigs	17	3	29.64	0.45	24.21	83%	2107904	0	0	29.769629
spneumoniae-pangenome.S_pseudosimplitigs.k_17.d_4	spneumoniae-pangenome	pseudosimplitigs	17	4	32.12	0.73	26.01	83%	1410096	0	0	32.159255
spneumoniae-pangenome.S_pseudosimplitigs.k_17.d_5	spneumoniae-pangenome	pseudosimplitigs	17	5	36.05	0.55	30.40	85%	1799776	0	0	36.108139
spneumoniae-pangenome.S_streaming.k_17.d_na	spneumoniae-pangenome	streaming	17	na	8.50	0.10	7.97	95%	373856	0	0	8.548902
spneumoniae-pangenome.S_greedy.k_18.d_na	spneumoniae-pangenome	greedy	18	na	25.52	1.24	19.13	79%	1994416	0	0	25.578396
spneumoniae-pangenome.S_pseudosimplitigs.k_18.d_1	spneumoniae-pangenome	pseudosimplitigs	18	1	30.95	0.72	24.84	82%	1513680	0	0	31.002098
spneumoniae-pangenome.S_pseudosimplitigs.k_18.d_2	spneumoniae-pangenome	pseudosimplitigs	18	2	30.23	0.58	24.33	82%	1782016	0	0	30.281951
spneumoniae-pangenome.S_pseudosimplitigs.k_18.d_3	spneumoniae-pangenome	pseudosimplitigs	18	3	30.79	0.54	24.92	82%	1587904	0	0	30.844036
spneumoniae-pangenome.S_pseudosimplitigs.k_18.d_4	spneumoniae-pangenome	pseudosimplitigs	18	4	31.74	0.55	25.94	83%	1615888	0	0	31.795789
spneumoniae-pangenome.S_pseudosimplitigs.k_18.d_5	spneumoniae-pangenome	pseudosimplitigs	18	5	35.71	0.57	29.88	85%	1590608	0	0	35.771622
spneumoniae-pangenome.S_streaming.k_18.d_na	spneumoniae-pangenome	streaming	18	na	8.65	0.11	8.22	96%	438048	0	0	8.683011
spneumoniae-pangenome.S_greedy.k_19.d_na	spneumoniae-pangenome	greedy	19	na	24.70	0.67	19.35	81%	2511232	0	0	24.746754
spneumoniae-pangenome.S_pseudosimplitigs.k_19.d_1	spneumoniae-pangenome	pseudosimplitigs	19	1	30.76	0.49	24.92	82%	1809376	0	0	30.847716
spneumoniae-pangenome.S_pseudosimplitigs.k_19.d_2	spneumoniae-pangenome	pseudosimplitigs	19	2	32.40	0.76	25.96	82%	1527536	0	0	32.464554
spneumoniae-pangenome.S_pseudosimplitigs.k_19.d_3	spneumoniae-pangenome	pseudosimplitigs	19	3	32.41	0.61	26.29	82%	1571152	0	0	32.492694
spneumoniae-pangenome.S_pseudosimplitigs.k_19.d_4	spneumoniae-pangenome	pseudosimplitigs	19	4	32.32	0.56	26.38	83%	1642608	0	0	32.376753
spneumoniae-pangenome.S_pseudosimplitigs.k_19.d_5	spneumoniae-pangenome	pseudosimplitigs	19	5	38.50	0.82	32.01	85%	1290576	0	0	38.560089
spneumoniae-pangenome.S_streaming.k_19.d_na	spneumoniae-pangenome	streaming	19	na	8.39	0.11	7.77	93%	381616	0	0	8.449891
spneumoniae-pangenome.S_greedy.k_20.d_na	spneumoniae-pangenome	greedy	20	na	25.74	0.86	19.83	80%	2254352	0	0	25.815662
spneumoniae-pangenome.S_pseudosimplitigs.k_20.d_1	spneumoniae-pangenome	pseudosimplitigs	20	1	31.73	0.57	25.54	82%	1548048	0	0	31.782967
spneumoniae-pangenome.S_pseudosimplitigs.k_20.d_2	spneumoniae-pangenome	pseudosimplitigs	20	2	33.31	0.81	26.62	82%	1204480	0	0	33.379877
spneumoniae-pangenome.S_pseudosimplitigs.k_20.d_3	spneumoniae-pangenome	pseudosimplitigs	20	3	34.03	0.90	27.20	82%	1562880	0	0	34.087239
spneumoniae-pangenome.S_pseudosimplitigs.k_20.d_4	spneumoniae-pangenome	pseudosimplitigs	20	4	34.63	0.77	27.96	82%	1412112	0	0	34.654811
spneumoniae-pangenome.S_pseudosimplitigs.k_20.d_5	spneumoniae-pangenome	pseudosimplitigs	20	5	37.60	0.59	31.49	85%	2117984	0	0	37.711671
spneumoniae-pangenome.S_streaming.k_20.d_na	spneumoniae-pangenome	streaming	20	na	8.50	0.09	8.02	95%	449376	0	0	8.552269
yeast.S_greedy.k_2.d_na	yeast	greedy	2	na	0.35	0.00	0.22	64%	7152	0	0	0.419101
yeast.S_pseudosimplitigs.k_2.d_1	yeast	pseudosimplitigs	2	1	0.45	0.00	0.30	67%	16480	0	0	0.533013
yeast.S_pseudosimplitigs.k_2.d_2	yeast	pseudosimplitigs	2	2	0.47	0.00	0.29	63%	16928	0	0	0.527551
yeast.S_pseudosimplitigs.k_2.d_3	yeast	pseudosimplitigs	2	3	0.68	0.01	0.32	49%	16944	0	0	0.882565
yeast.S_pseudosimplitigs.k_2.d_4	yeast	pseudosimplitigs	2	4	0.44	0.00	0.30	69%	16768	0	0	0.466499
yeast.S_pseudosimplitigs.k_2.d_5	yeast	pseudosimplitigs	2	5	0.44	0.00	0.30	71%	16768	0	0	0.464702
yeast.S_streaming.k_2.d_na	yeast	streaming	2	na	0.58	0.00	0.42	74%	4416	0	0	0.606663
yeast.S_greedy.k_3.d_na	yeast	greedy	3	na	0.38	0.00	0.23	63%	7104	0	0	0.431859
yeast.S_pseudosimplitigs.k_3.d_1	yeast	pseudosimplitigs	3	1	0.49	0.01	0.34	72%	17008	0	0	0.559369
yeast.S_pseudosimplitigs.k_3.d_2	yeast	pseudosimplitigs	3	2	0.49	0.01	0.34	70%	16976	0	0	0.548753
yeast.S_pseudosimplitigs.k_3.d_3	yeast	pseudosimplitigs	3	3	0.46	0.00	0.31	70%	16720	0	0	0.4919
yeast.S_pseudosimplitigs.k_3.d_4	yeast	pseudosimplitigs	3	4	0.48	0.01	0.34	73%	16784	0	0	0.539861
yeast.S_pseudosimplitigs.k_3.d_5	yeast	pseudosimplitigs	3	5	0.48	0.00	0.33	71%	16496	0	0	0.534202
yeast.S_streaming.k_3.d_na	yeast	streaming	3	na	0.92	0.01	0.61	68%	4832	0	0	1.046086
yeast.S_greedy.k_4.d_na	yeast	greedy	4	na	0.43	0.00	0.27	63%	7088	0	0	0.461206
yeast.S_pseudosimplitigs.k_4.d_1	yeast	pseudosimplitigs	4	1	0.48	0.01	0.33	71%	16752	0	0	0.504827
yeast.S_pseudosimplitigs.k_4.d_2	yeast	pseudosimplitigs	4	2	0.53	0.01	0.35	67%	17088	0	0	0.56063
yeast.S_pseudosimplitigs.k_4.d_3	yeast	pseudosimplitigs	4	3	0.48	0.00	0.33	70%	16592	0	0	0.521047
yeast.S_pseudosimplitigs.k_4.d_4	yeast	pseudosimplitigs	4	4	0.49	0.00	0.34	72%	16928	0	0	0.514004
yeast.S_pseudosimplitigs.k_4.d_5	yeast	pseudosimplitigs	4	5	0.48	0.00	0.33	71%	16816	0	0	0.531864
yeast.S_streaming.k_4.d_na	yeast	streaming	4	na	0.91	0.00	0.78	86%	4560	0	0	0.939143
yeast.S_greedy.k_5.d_na	yeast	greedy	5	na	0.46	0.00	0.29	65%	7504	0	0	0.543743
yeast.S_pseudosimplitigs.k_5.d_1	yeast	pseudosimplitigs	5	1	0.51	0.00	0.37	73%	16720	0	0	0.53876
yeast.S_pseudosimplitigs.k_5.d_2	yeast	pseudosimplitigs	5	2	0.48	0.00	0.35	74%	17136	0	0	0.506582
yeast.S_pseudosimplitigs.k_5.d_3	yeast	pseudosimplitigs	5	3	0.52	0.01	0.36	72%	17008	0	0	0.547015
yeast.S_pseudosimplitigs.k_5.d_4	yeast	pseudosimplitigs	5	4	0.51	0.00	0.36	73%	17120	0	0	0.537854
yeast.S_pseudosimplitigs.k_5.d_5	yeast	pseudosimplitigs	5	5	0.51	0.01	0.36	73%	17200	0	0	0.568525
yeast.S_streaming.k_5.d_na	yeast	streaming	5	na	1.10	0.00	0.96	88%	4496	0	0	1.152096
yeast.S_greedy.k_6.d_na	yeast	greedy	6	na	0.47	0.00	0.32	68%	8096	0	0	0.50921
yeast.S_pseudosimplitigs.k_6.d_1	yeast	pseudosimplitigs	6	1	0.59	0.00	0.41	70%	17792	0	0	0.640014
yeast.S_pseudosimplitigs.k_6.d_2	yeast	pseudosimplitigs	6	2	0.56	0.00	0.40	73%	17984	0	0	0.616786
yeast.S_pseudosimplitigs.k_6.d_3	yeast	pseudosimplitigs	6	3	0.56	0.01	0.41	74%	17216	0	0	0.591937
yeast.S_pseudosimplitigs.k_6.d_4	yeast	pseudosimplitigs	6	4	0.56	0.00	0.39	71%	16640	0	0	0.602244
yeast.S_pseudosimplitigs.k_6.d_5	yeast	pseudosimplitigs	6	5	0.72	0.01	0.44	63%	17344	0	0	0.981307
yeast.S_streaming.k_6.d_na	yeast	streaming	6	na	1.24	0.00	1.10	89%	4752	0	0	1.279525
yeast.S_greedy.k_7.d_na	yeast	greedy	7	na	0.55	0.00	0.37	69%	9120	0	0	0.57488
yeast.S_pseudosimplitigs.k_7.d_1	yeast	pseudosimplitigs	7	1	0.60	0.01	0.46	77%	19408	0	0	0.627464
yeast.S_pseudosimplitigs.k_7.d_2	yeast	pseudosimplitigs	7	2	0.59	0.01	0.44	76%	19504	0	0	0.643979
yeast.S_pseudosimplitigs.k_7.d_3	yeast	pseudosimplitigs	7	3	0.58	0.01	0.44	77%	19936	0	0	0.633187
yeast.S_pseudosimplitigs.k_7.d_4	yeast	pseudosimplitigs	7	4	0.60	0.01	0.45	76%	19248	0	0	0.633644
yeast.S_pseudosimplitigs.k_7.d_5	yeast	pseudosimplitigs	7	5	0.70	0.01	0.50	73%	20224	0	0	0.778942
yeast.S_streaming.k_7.d_na	yeast	streaming	7	na	1.71	0.01	1.35	79%	5056	0	0	1.897648
yeast.S_greedy.k_8.d_na	yeast	greedy	8	na	0.55	0.00	0.41	76%	15760	0	0	0.675666
yeast.S_pseudosimplitigs.k_8.d_1	yeast	pseudosimplitigs	8	1	0.81	0.01	0.66	82%	28880	0	0	0.840639
yeast.S_pseudosimplitigs.k_8.d_2	yeast	pseudosimplitigs	8	2	0.69	0.01	0.54	79%	29104	0	0	0.719699
yeast.S_pseudosimplitigs.k_8.d_3	yeast	pseudosimplitigs	8	3	0.86	0.01	0.71	83%	27936	0	0	0.922262
yeast.S_pseudosimplitigs.k_8.d_4	yeast	pseudosimplitigs	8	4	0.66	0.00	0.52	79%	28752	0	0	0.73143
yeast.S_pseudosimplitigs.k_8.d_5	yeast	pseudosimplitigs	8	5	0.65	0.01	0.50	79%	29552	0	0	0.689888
yeast.S_streaming.k_8.d_na	yeast	streaming	8	na	1.63	0.00	1.47	90%	6608	0	0	1.702746
yeast.S_greedy.k_9.d_na	yeast	greedy	9	na	0.76	0.01	0.58	77%	46832	0	0	0.806347
yeast.S_pseudosimplitigs.k_9.d_1	yeast	pseudosimplitigs	9	1	1.67	0.01	1.48	89%	65328	0	0	1.706456
yeast.S_pseudosimplitigs.k_9.d_2	yeast	pseudosimplitigs	9	2	1.78	0.02	1.56	89%	62336	0	0	1.845872
yeast.S_pseudosimplitigs.k_9.d_3	yeast	pseudosimplitigs	9	3	1.56	0.01	1.35	87%	63152	0	0	1.611356
yeast.S_pseudosimplitigs.k_9.d_4	yeast	pseudosimplitigs	9	4	1.69	0.01	1.49	88%	67664	0	0	1.766084
yeast.S_pseudosimplitigs.k_9.d_5	yeast	pseudosimplitigs	9	5	1.85	0.02	1.64	90%	58352	0	0	1.906607
yeast.S_streaming.k_9.d_na	yeast	streaming	9	na	2.20	0.01	2.05	93%	11712	0	0	2.24466
yeast.S_greedy.k_10.d_na	yeast	greedy	10	na	4.04	0.04	1.90	48%	169152	0	0	4.140535
yeast.S_pseudosimplitigs.k_10.d_1	yeast	pseudosimplitigs	10	1	4.58	0.06	3.77	83%	185952	0	0	4.681929
yeast.S_pseudosimplitigs.k_10.d_2	yeast	pseudosimplitigs	10	2	4.65	0.07	3.94	86%	185456	0	0	4.685629
yeast.S_pseudosimplitigs.k_10.d_3	yeast	pseudosimplitigs	10	3	4.86	0.06	4.25	88%	176048	0	0	4.925869
yeast.S_pseudosimplitigs.k_10.d_4	yeast	pseudosimplitigs	10	4	8.57	0.07	7.96	93%	213424	0	0	8.620783
yeast.S_pseudosimplitigs.k_10.d_5	yeast	pseudosimplitigs	10	5	6.96	0.05	6.40	92%	208416	0	0	6.981222
yeast.S_streaming.k_10.d_na	yeast	streaming	10	na	5.62	0.02	4.98	89%	32592	0	0	5.69779
yeast.S_greedy.k_11.d_na	yeast	greedy	11	na	6.05	0.14	4.71	80%	593184	0	0	6.116591
yeast.S_pseudosimplitigs.k_11.d_1	yeast	pseudosimplitigs	11	1	9.74	0.17	8.01	84%	552720	0	0	9.820002
yeast.S_pseudosimplitigs.k_11.d_2	yeast	pseudosimplitigs	11	2	9.80	0.20	7.96	83%	554496	0	0	9.842387
yeast.S_pseudosimplitigs.k_11.d_3	yeast	pseudosimplitigs	11	3	33.39	3.72	17.32	63%	280736	0	0	33.520382
yeast.S_pseudosimplitigs.k_11.d_4	yeast	pseudosimplitigs	11	4	36.69	0.73	33.51	93%	553648	0	0	36.723414
yeast.S_pseudosimplitigs.k_11.d_5	yeast	pseudosimplitigs	11	5	54.54	8.41	44.39	96%	637728	0	0	54.608608
yeast.S_streaming.k_11.d_na	yeast	streaming	11	na	5.96	0.03	5.75	97%	114592	0	0	5.997674
yeast.S_greedy.k_12.d_na	yeast	greedy	12	na	14.47	0.59	11.09	80%	1161392	0	0	14.519413
yeast.S_pseudosimplitigs.k_12.d_1	yeast	pseudosimplitigs	12	1	21.80	0.44	17.14	80%	1133328	0	0	21.84289
yeast.S_pseudosimplitigs.k_12.d_2	yeast	pseudosimplitigs	12	2	21.57	0.35	17.29	81%	1374112	0	0	21.629327
yeast.S_pseudosimplitigs.k_12.d_3	yeast	pseudosimplitigs	12	3	26.08	0.37	21.89	85%	1357936	0	0	26.153004
yeast.S_pseudosimplitigs.k_12.d_4	yeast	pseudosimplitigs	12	4	65.83	1.35	59.68	92%	726608	0	0	65.883465
yeast.S_pseudosimplitigs.k_12.d_5	yeast	pseudosimplitigs	12	5	884.52	493.38	354.16	95%	800704	0	0	884.555434
yeast.S_streaming.k_12.d_na	yeast	streaming	12	na	8.07	0.08	7.72	96%	238592	0	0	8.138376
yeast.S_greedy.k_13.d_na	yeast	greedy	13	na	24.38	0.62	19.12	80%	2111856	0	0	24.411768
yeast.S_pseudosimplitigs.k_13.d_1	yeast	pseudosimplitigs	13	1	32.19	0.51	24.52	77%	2197936	0	0	32.268054
yeast.S_pseudosimplitigs.k_13.d_2	yeast	pseudosimplitigs	13	2	32.14	0.58	24.60	78%	1284544	0	0	32.164119
yeast.S_pseudosimplitigs.k_13.d_3	yeast	pseudosimplitigs	13	3	35.54	0.80	28.12	81%	1861040	0	0	35.577469
yeast.S_pseudosimplitigs.k_13.d_4	yeast	pseudosimplitigs	13	4	58.91	1.27	47.68	83%	1426512	0	0	59.034512
yeast.S_pseudosimplitigs.k_13.d_5	yeast	pseudosimplitigs	13	5	532.27	247.08	249.04	93%	1565728	0	0	532.33005
yeast.S_streaming.k_13.d_na	yeast	streaming	13	na	9.45	0.14	8.97	96%	371744	0	0	9.497888
yeast.S_greedy.k_14.d_na	yeast	greedy	14	na	151.51	80.60	33.27	75%	1914880	0	0	151.576727
yeast.S_pseudosimplitigs.k_14.d_1	yeast	pseudosimplitigs	14	1	40.26	0.91	30.97	79%	2160800	0	0	40.302666
yeast.S_pseudosimplitigs.k_14.d_2	yeast	pseudosimplitigs	14	2	39.54	0.75	30.79	79%	1699936	0	0	39.632734
yeast.S_pseudosimplitigs.k_14.d_3	yeast	pseudosimplitigs	14	3	41.84	0.97	32.78	80%	1512656	0	0	41.901516
yeast.S_pseudosimplitigs.k_14.d_4	yeast	pseudosimplitigs	14	4	191.25	50.28	109.25	83%	1599840	0	0	191.306836
yeast.S_pseudosimplitigs.k_14.d_5	yeast	pseudosimplitigs	14	5	1345.57	751.36	540.38	96%	1721808	0	0	1345.622274
yeast.S_streaming.k_14.d_na	yeast	streaming	14	na	49.81	0.17	8.78	17%	443648	0	0	49.838252
yeast.S_greedy.k_15.d_na	yeast	greedy	15	na	37.80	3.04	25.49	75%	3035584	0	0	37.855029
yeast.S_pseudosimplitigs.k_15.d_1	yeast	pseudosimplitigs	15	1	39.68	0.96	30.75	79%	1825200	0	0	39.742516
yeast.S_pseudosimplitigs.k_15.d_2	yeast	pseudosimplitigs	15	2	50.62	5.43	33.06	76%	1574896	0	0	50.68484
yeast.S_pseudosimplitigs.k_15.d_3	yeast	pseudosimplitigs	15	3	41.81	0.78	32.70	80%	2721616	0	0	41.874913
yeast.S_pseudosimplitigs.k_15.d_4	yeast	pseudosimplitigs	15	4	55.23	1.82	44.42	83%	1647376	0	0	55.26406
yeast.S_pseudosimplitigs.k_15.d_5	yeast	pseudosimplitigs	15	5	218.22	88.85	116.12	93%	1495712	0	0	218.27951
yeast.S_streaming.k_15.d_na	yeast	streaming	15	na	10.07	0.16	9.28	93%	499952	0	0	10.170593
yeast.S_greedy.k_16.d_na	yeast	greedy	16	na	36.35	1.59	25.85	75%	3000416	0	0	36.385096
yeast.S_pseudosimplitigs.k_16.d_1	yeast	pseudosimplitigs	16	1	40.45	0.97	31.20	79%	1650416	0	0	40.483389
yeast.S_pseudosimplitigs.k_16.d_2	yeast	pseudosimplitigs	16	2	41.35	0.97	31.82	79%	2064976	0	0	41.392238
yeast.S_pseudosimplitigs.k_16.d_3	yeast	pseudosimplitigs	16	3	41.90	0.80	32.54	79%	2063728	0	0	41.947276
yeast.S_pseudosimplitigs.k_16.d_4	yeast	pseudosimplitigs	16	4	48.40	0.74	39.16	82%	2850000	0	0	48.466812
yeast.S_pseudosimplitigs.k_16.d_5	yeast	pseudosimplitigs	16	5	71.18	7.02	51.06	81%	1873664	0	0	71.227698
yeast.S_streaming.k_16.d_na	yeast	streaming	16	na	9.94	0.17	8.94	91%	514080	0	0	10.026528
yeast.S_greedy.k_17.d_na	yeast	greedy	17	na	54.36	12.16	27.30	72%	2755072	0	0	54.402427
yeast.S_pseudosimplitigs.k_17.d_1	yeast	pseudosimplitigs	17	1	42.67	0.85	33.31	80%	1902480	0	0	42.701858
yeast.S_pseudosimplitigs.k_17.d_2	yeast	pseudosimplitigs	17	2	42.32	0.81	32.83	79%	2176112	0	0	42.372714
yeast.S_pseudosimplitigs.k_17.d_3	yeast	pseudosimplitigs	17	3	43.65	0.78	34.22	80%	2732096	0	0	43.715941
yeast.S_pseudosimplitigs.k_17.d_4	yeast	pseudosimplitigs	17	4	46.00	0.79	36.49	81%	2000896	0	0	46.061132
yeast.S_pseudosimplitigs.k_17.d_5	yeast	pseudosimplitigs	17	5	48.54	0.85	38.94	81%	2035296	0	0	48.586375
