pref	genome	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumoniae.S_pseudosimplitigsAC.k_14.d_9	spneumoniae	pseudosimplitigsAC	14	9	85.35	2.50	80.83	97%	6276824	0	0	85.363025
spneumoniae.S_pseudosimplitigs.k_15.d_1	spneumoniae	pseudosimplitigs	15	1	13.80	0.30	11.44	85%	424328	0	0	13.810866
spneumoniae.S_pseudosimplitigs.k_15.d_10	spneumoniae	pseudosimplitigs	15	10	70.21	3.90	62.35	94%	424352	4168	0	70.215894
spneumoniae.S_pseudosimplitigs.k_15.d_11	spneumoniae	pseudosimplitigs	15	11	114.81	0.32	112.14	97%	424356	0	0	114.820264
spneumoniae.S_pseudosimplitigs.k_15.d_12	spneumoniae	pseudosimplitigs	15	12	250.98	22.50	214.49	94%	424356	11944	0	250.991266
spneumoniae.S_pseudosimplitigs.k_15.d_2	spneumoniae	pseudosimplitigs	15	2	12.83	0.19	10.35	82%	424336	0	0	12.835677
spneumoniae.S_pseudosimplitigs.k_15.d_3	spneumoniae	pseudosimplitigs	15	3	13.21	0.13	11.07	84%	424300	0	0	13.213367
spneumoniae.S_pseudosimplitigs.k_15.d_4	spneumoniae	pseudosimplitigs	15	4	13.82	0.21	11.27	83%	424292	0	0	13.825104
spneumoniae.S_pseudosimplitigs.k_15.d_5	spneumoniae	pseudosimplitigs	15	5	13.08	0.16	10.81	83%	424336	0	0	13.090485
spneumoniae.S_pseudosimplitigs.k_15.d_6	spneumoniae	pseudosimplitigs	15	6	18.12	0.20	15.36	85%	424312	0	0	18.124506
spneumoniae.S_pseudosimplitigs.k_15.d_7	spneumoniae	pseudosimplitigs	15	7	35.99	8.66	20.65	81%	424404	12032	0	35.999044
spneumoniae.S_pseudosimplitigs.k_15.d_8	spneumoniae	pseudosimplitigs	15	8	35.66	4.94	26.08	87%	424412	5464	0	35.668437
spneumoniae.S_pseudosimplitigs.k_15.d_9	spneumoniae	pseudosimplitigs	15	9	42.67	0.38	40.41	95%	423468	0	0	42.675728
spneumoniae.S_pseudosimplitigsAC.k_15.d_1	spneumoniae	pseudosimplitigsAC	15	1	71.89	3.46	66.57	97%	6794888	0	0	71.900782
spneumoniae.S_pseudosimplitigsAC.k_15.d_10	spneumoniae	pseudosimplitigsAC	15	10	88.04	3.30	82.66	97%	6953308	0	0	88.046877
spneumoniae.S_pseudosimplitigsAC.k_15.d_11	spneumoniae	pseudosimplitigsAC	15	11	89.19	3.58	83.33	97%	7094920	0	0	89.202414
spneumoniae.S_pseudosimplitigsAC.k_15.d_12	spneumoniae	pseudosimplitigsAC	15	12	86.18	3.73	80.48	97%	7094920	0	0	86.191469
spneumoniae.S_pseudosimplitigsAC.k_15.d_2	spneumoniae	pseudosimplitigsAC	15	2	71.06	2.84	65.74	96%	6797468	0	0	71.073267
spneumoniae.S_pseudosimplitigsAC.k_15.d_3	spneumoniae	pseudosimplitigsAC	15	3	69.28	3.44	63.39	96%	6797436	0	0	69.290338
spneumoniae.S_pseudosimplitigsAC.k_15.d_4	spneumoniae	pseudosimplitigsAC	15	4	76.06	3.81	69.58	96%	6797376	0	0	76.06614
spneumoniae.S_pseudosimplitigsAC.k_15.d_5	spneumoniae	pseudosimplitigsAC	15	5	67.82	2.49	63.26	96%	6796252	0	0	67.827764
spneumoniae.S_pseudosimplitigsAC.k_15.d_6	spneumoniae	pseudosimplitigsAC	15	6	83.04	3.53	77.53	97%	6805744	0	0	83.053784
spneumoniae.S_pseudosimplitigsAC.k_15.d_7	spneumoniae	pseudosimplitigsAC	15	7	83.08	3.04	78.03	97%	6884580	0	0	83.089494
spneumoniae.S_pseudosimplitigsAC.k_15.d_8	spneumoniae	pseudosimplitigsAC	15	8	81.38	3.15	76.16	97%	6884668	0	0	81.388246
spneumoniae.S_pseudosimplitigsAC.k_15.d_9	spneumoniae	pseudosimplitigsAC	15	9	90.78	3.30	85.04	97%	6884652	0	0	90.788816
spneumoniae.S_pseudosimplitigs.k_16.d_1	spneumoniae	pseudosimplitigs	16	1	16.16	0.42	13.76	87%	493424	0	0	16.174663
spneumoniae.S_pseudosimplitigs.k_16.d_10	spneumoniae	pseudosimplitigs	16	10	94.54	3.98	85.63	94%	524040	2368	0	94.548921
spneumoniae.S_pseudosimplitigs.k_16.d_11	spneumoniae	pseudosimplitigs	16	11	139.60	3.50	132.36	97%	526532	5312	0	139.60498
spneumoniae.S_pseudosimplitigs.k_16.d_12	spneumoniae	pseudosimplitigs	16	12	257.11	0.92	253.20	98%	526628	0	0	257.117981
spneumoniae.S_pseudosimplitigs.k_16.d_2	spneumoniae	pseudosimplitigs	16	2	12.83	0.20	10.63	84%	493368	0	0	12.835862
spneumoniae.S_pseudosimplitigs.k_16.d_3	spneumoniae	pseudosimplitigs	16	3	16.02	0.44	12.92	83%	493412	0	0	16.023859
spneumoniae.S_pseudosimplitigs.k_16.d_4	spneumoniae	pseudosimplitigs	16	4	13.83	0.19	11.50	84%	493412	0	0	13.834942
spneumoniae.S_pseudosimplitigs.k_16.d_5	spneumoniae	pseudosimplitigs	16	5	14.90	0.24	12.82	87%	493360	0	0	14.913504
spneumoniae.S_pseudosimplitigs.k_16.d_6	spneumoniae	pseudosimplitigs	16	6	19.87	0.29	17.39	89%	493400	0	0	19.8829
spneumoniae.S_pseudosimplitigs.k_16.d_7	spneumoniae	pseudosimplitigs	16	7	31.30	0.46	22.91	74%	493424	2440	0	31.309601
spneumoniae.S_pseudosimplitigs.k_16.d_8	spneumoniae	pseudosimplitigs	16	8	25.98	0.34	23.73	92%	526672	0	0	25.991944
spneumoniae.S_pseudosimplitigs.k_16.d_9	spneumoniae	pseudosimplitigs	16	9	43.77	2.58	37.44	91%	525756	928	0	43.776076
spneumoniae.S_pseudosimplitigsAC.k_16.d_1	spneumoniae	pseudosimplitigsAC	16	1	79.30	2.89	74.06	97%	7678016	0	0	79.306139
spneumoniae.S_pseudosimplitigsAC.k_16.d_10	spneumoniae	pseudosimplitigsAC	16	10	83.23	3.21	77.68	97%	7737960	0	0	83.239542
spneumoniae.S_pseudosimplitigsAC.k_16.d_11	spneumoniae	pseudosimplitigsAC	16	11	92.98	3.12	87.49	97%	7781048	0	0	92.986698
spneumoniae.S_pseudosimplitigsAC.k_16.d_12	spneumoniae	pseudosimplitigsAC	16	12	91.62	3.42	86.00	97%	7887028	0	0	91.627959
spneumoniae.S_pseudosimplitigsAC.k_16.d_2	spneumoniae	pseudosimplitigsAC	16	2	79.47	3.03	74.06	97%	7676544	0	0	79.476778
spneumoniae.S_pseudosimplitigsAC.k_16.d_3	spneumoniae	pseudosimplitigsAC	16	3	75.89	2.84	70.90	97%	7676004	0	0	75.899566
spneumoniae.S_pseudosimplitigsAC.k_16.d_4	spneumoniae	pseudosimplitigsAC	16	4	79.34	3.67	73.06	96%	7676948	0	0	79.354289
spneumoniae.S_pseudosimplitigsAC.k_16.d_5	spneumoniae	pseudosimplitigsAC	16	5	74.87	3.30	69.10	96%	7676820	0	0	74.874969
spneumoniae.S_pseudosimplitigsAC.k_16.d_6	spneumoniae	pseudosimplitigsAC	16	6	80.88	2.93	75.89	97%	7677428	0	0	80.886
spneumoniae.S_pseudosimplitigsAC.k_16.d_7	spneumoniae	pseudosimplitigsAC	16	7	81.41	3.51	75.54	97%	7678944	0	0	81.421102
spneumoniae.S_pseudosimplitigsAC.k_16.d_8	spneumoniae	pseudosimplitigsAC	16	8	91.81	3.64	85.53	97%	7737716	0	0	91.81897
spneumoniae.S_pseudosimplitigsAC.k_16.d_9	spneumoniae	pseudosimplitigsAC	16	9	85.34	3.69	79.50	97%	7737716	0	0	85.345278
spneumoniae.S_pseudosimplitigs.k_17.d_1	spneumoniae	pseudosimplitigs	17	1	23.43	4.06	15.01	81%	492388	10136	0	23.441226
spneumoniae.S_pseudosimplitigs.k_17.d_10	spneumoniae	pseudosimplitigs	17	10	85.68	0.28	83.31	97%	494844	0	0	85.689198
spneumoniae.S_pseudosimplitigs.k_17.d_11	spneumoniae	pseudosimplitigs	17	11	198.16	0.65	194.97	98%	494844	0	0	198.173119
spneumoniae.S_pseudosimplitigs.k_17.d_12	spneumoniae	pseudosimplitigs	17	12	409.69	0.78	405.70	99%	494672	208	0	409.699675
spneumoniae.S_pseudosimplitigs.k_17.d_2	spneumoniae	pseudosimplitigs	17	2	16.76	0.47	14.15	87%	494412	0	0	16.772849
spneumoniae.S_pseudosimplitigs.k_17.d_3	spneumoniae	pseudosimplitigs	17	3	17.69	0.53	15.09	88%	494308	0	0	17.69854
spneumoniae.S_pseudosimplitigs.k_17.d_4	spneumoniae	pseudosimplitigs	17	4	15.51	0.25	12.91	84%	494372	0	0	15.521611
spneumoniae.S_pseudosimplitigs.k_17.d_5	spneumoniae	pseudosimplitigs	17	5	30.18	8.83	14.45	77%	491880	12912	0	30.188685
spneumoniae.S_pseudosimplitigs.k_17.d_6	spneumoniae	pseudosimplitigs	17	6	14.38	0.15	12.24	86%	494352	992	0	14.388052
spneumoniae.S_pseudosimplitigs.k_17.d_7	spneumoniae	pseudosimplitigs	17	7	17.69	0.38	15.12	87%	494416	0	0	17.698622
spneumoniae.S_pseudosimplitigs.k_17.d_8	spneumoniae	pseudosimplitigs	17	8	23.14	0.30	20.67	90%	494788	0	0	23.152189
spneumoniae.S_pseudosimplitigs.k_17.d_9	spneumoniae	pseudosimplitigs	17	9	42.84	2.51	36.65	91%	494856	3736	0	42.852931
spneumoniae.S_pseudosimplitigsAC.k_17.d_1	spneumoniae	pseudosimplitigsAC	17	1	77.26	3.17	71.99	97%	8307224	0	0	77.269415
spneumoniae.S_pseudosimplitigsAC.k_17.d_10	spneumoniae	pseudosimplitigsAC	17	10	82.26	3.29	76.98	97%	8366060	0	0	82.271061
spneumoniae.S_pseudosimplitigsAC.k_17.d_11	spneumoniae	pseudosimplitigsAC	17	11	84.68	3.45	79.00	97%	8366152	0	0	84.686488
spneumoniae.S_pseudosimplitigsAC.k_17.d_12	spneumoniae	pseudosimplitigsAC	17	12	90.05	3.71	83.66	97%	8367944	0	0	90.054633
spneumoniae.S_pseudosimplitigsAC.k_17.d_2	spneumoniae	pseudosimplitigsAC	17	2	80.53	4.17	74.27	97%	8307420	0	0	80.543162
spneumoniae.S_pseudosimplitigsAC.k_17.d_3	spneumoniae	pseudosimplitigsAC	17	3	82.04	3.36	76.23	97%	8307404	0	0	82.053182
spneumoniae.S_pseudosimplitigsAC.k_17.d_4	spneumoniae	pseudosimplitigsAC	17	4	78.21	3.10	73.03	97%	8307420	0	0	78.214985
spneumoniae.S_pseudosimplitigsAC.k_17.d_5	spneumoniae	pseudosimplitigsAC	17	5	84.46	3.88	78.11	97%	8307236	0	0	84.471593
spneumoniae.S_pseudosimplitigsAC.k_17.d_6	spneumoniae	pseudosimplitigsAC	17	6	87.23	3.83	80.91	97%	8305680	0	0	87.23755
spneumoniae.S_pseudosimplitigsAC.k_17.d_7	spneumoniae	pseudosimplitigsAC	17	7	82.00	3.34	76.58	97%	8307420	0	0	82.011872
spneumoniae.S_pseudosimplitigsAC.k_17.d_8	spneumoniae	pseudosimplitigsAC	17	8	82.89	3.67	76.52	96%	8307612	0	0	82.8964
spneumoniae.S_pseudosimplitigsAC.k_17.d_9	spneumoniae	pseudosimplitigsAC	17	9	81.29	2.88	76.03	97%	8337708	0	0	81.296141
spneumoniae.S_pseudosimplitigs.k_18.d_1	spneumoniae	pseudosimplitigs	18	1	15.22	0.29	12.64	84%	497000	0	0	15.231216
spneumoniae.S_pseudosimplitigs.k_18.d_10	spneumoniae	pseudosimplitigs	18	10	105.38	0.49	102.18	97%	526032	0	0	105.388043
spneumoniae.S_pseudosimplitigs.k_18.d_11	spneumoniae	pseudosimplitigs	18	11	306.45	6.53	295.09	98%	526032	3312	0	306.460051
spneumoniae.S_pseudosimplitigs.k_18.d_12	spneumoniae	pseudosimplitigs	18	12	784.61	4.60	772.30	99%	525872	4664	0	784.619979
spneumoniae.S_pseudosimplitigs.k_18.d_2	spneumoniae	pseudosimplitigs	18	2	16.91	0.43	14.12	86%	497028	0	0	16.916459
spneumoniae.S_pseudosimplitigs.k_18.d_3	spneumoniae	pseudosimplitigs	18	3	15.19	0.37	12.52	84%	494940	0	0	15.201629
spneumoniae.S_pseudosimplitigs.k_18.d_4	spneumoniae	pseudosimplitigs	18	4	15.27	0.34	12.93	86%	496976	0	0	15.281442
spneumoniae.S_pseudosimplitigs.k_18.d_5	spneumoniae	pseudosimplitigs	18	5	17.02	0.51	13.44	82%	496956	0	0	17.029677
spneumoniae.S_pseudosimplitigs.k_18.d_6	spneumoniae	pseudosimplitigs	18	6	15.26	0.24	13.02	86%	496984	0	0	15.26565
spneumoniae.S_pseudosimplitigs.k_18.d_7	spneumoniae	pseudosimplitigs	18	7	17.45	0.23	14.95	86%	496960	0	0	17.460098
spneumoniae.S_pseudosimplitigs.k_18.d_8	spneumoniae	pseudosimplitigs	18	8	22.98	0.23	20.84	91%	497004	0	0	22.994197
spneumoniae.S_pseudosimplitigs.k_18.d_9	spneumoniae	pseudosimplitigs	18	9	49.09	0.27	46.77	95%	497032	0	0	49.09315
spneumoniae.S_pseudosimplitigsAC.k_18.d_1	spneumoniae	pseudosimplitigsAC	18	1	91.84	4.31	84.90	97%	9063488	0	0	91.851822
spneumoniae.S_pseudosimplitigsAC.k_18.d_10	spneumoniae	pseudosimplitigsAC	18	10	99.76	3.67	93.75	97%	9108720	0	0	99.773934
spneumoniae.S_pseudosimplitigsAC.k_18.d_11	spneumoniae	pseudosimplitigsAC	18	11	99.61	3.41	93.66	97%	9108728	0	0	99.62348
spneumoniae.S_pseudosimplitigsAC.k_18.d_12	spneumoniae	pseudosimplitigsAC	18	12	103.51	4.02	96.84	97%	9108728	0	0	103.524196
spneumoniae.S_pseudosimplitigsAC.k_18.d_2	spneumoniae	pseudosimplitigsAC	18	2	87.38	3.80	81.59	97%	9065264	0	0	87.384341
spneumoniae.S_pseudosimplitigsAC.k_18.d_3	spneumoniae	pseudosimplitigsAC	18	3	83.64	3.84	77.47	97%	9063208	0	0	83.650773
spneumoniae.S_pseudosimplitigsAC.k_18.d_4	spneumoniae	pseudosimplitigsAC	18	4	87.24	3.97	80.56	96%	9063464	0	0	87.249212
spneumoniae.S_pseudosimplitigsAC.k_18.d_5	spneumoniae	pseudosimplitigsAC	18	5	86.33	3.87	79.78	96%	9065336	0	0	86.34149
spneumoniae.S_pseudosimplitigsAC.k_18.d_6	spneumoniae	pseudosimplitigsAC	18	6	91.02	3.70	84.64	97%	9065332	0	0	91.030568
spneumoniae.S_pseudosimplitigsAC.k_18.d_7	spneumoniae	pseudosimplitigsAC	18	7	84.70	3.46	79.20	97%	9065148	0	0	84.707288
spneumoniae.S_pseudosimplitigsAC.k_18.d_8	spneumoniae	pseudosimplitigsAC	18	8	95.95	3.88	89.53	97%	9065164	0	0	95.963914
spneumoniae.S_pseudosimplitigsAC.k_18.d_9	spneumoniae	pseudosimplitigsAC	18	9	98.09	3.89	92.06	97%	9087648	0	0	98.097176
spneumoniae.S_pseudosimplitigs.k_19.d_1	spneumoniae	pseudosimplitigs	19	1	15.92	0.30	13.44	86%	560836	0	0	15.928961
spneumoniae.S_pseudosimplitigs.k_19.d_10	spneumoniae	pseudosimplitigs	19	10	109.23	0.35	106.77	98%	560796	0	0	109.24153
spneumoniae.S_pseudosimplitigs.k_19.d_11	spneumoniae	pseudosimplitigs	19	11	329.26	4.50	320.26	98%	560868	2480	0	329.268421
spneumoniae.S_pseudosimplitigs.k_19.d_12	spneumoniae	pseudosimplitigs	19	12	1027.63	27.85	978.93	97%	560956	16320	0	1027.64078
spneumoniae.S_pseudosimplitigs.k_19.d_2	spneumoniae	pseudosimplitigs	19	2	13.79	0.35	11.23	83%	560852	0	0	13.802641
spneumoniae.S_pseudosimplitigs.k_19.d_3	spneumoniae	pseudosimplitigs	19	3	16.21	0.22	13.60	85%	560912	0	0	16.216655
spneumoniae.S_pseudosimplitigs.k_19.d_4	spneumoniae	pseudosimplitigs	19	4	14.74	0.23	12.40	85%	560840	0	0	14.744132
spneumoniae.S_pseudosimplitigs.k_19.d_5	spneumoniae	pseudosimplitigs	19	5	14.81	0.24	12.58	86%	560784	0	0	14.822469
spneumoniae.S_pseudosimplitigs.k_19.d_6	spneumoniae	pseudosimplitigs	19	6	15.59	0.21	13.20	86%	560920	456	0	15.593169
spneumoniae.S_pseudosimplitigs.k_19.d_7	spneumoniae	pseudosimplitigs	19	7	17.73	0.25	15.12	86%	560928	0	0	17.738977
spneumoniae.S_pseudosimplitigs.k_19.d_8	spneumoniae	pseudosimplitigs	19	8	25.48	0.48	22.97	92%	560860	0	0	25.494497
spneumoniae.S_pseudosimplitigs.k_19.d_9	spneumoniae	pseudosimplitigs	19	9	59.99	9.26	43.99	88%	560804	11392	0	59.998378
spneumoniae.S_pseudosimplitigsAC.k_19.d_1	spneumoniae	pseudosimplitigsAC	19	1	97.79	4.68	90.34	97%	9688636	0	0	97.801198
spneumoniae.S_pseudosimplitigsAC.k_19.d_10	spneumoniae	pseudosimplitigsAC	19	10	98.64	3.95	92.38	97%	9745352	0	0	98.649184
spneumoniae.S_pseudosimplitigsAC.k_19.d_11	spneumoniae	pseudosimplitigsAC	19	11	105.11	4.21	98.17	97%	9745408	0	0	105.117481
spneumoniae.S_pseudosimplitigsAC.k_19.d_12	spneumoniae	pseudosimplitigsAC	19	12	100.58	3.99	94.57	97%	9745308	0	0	100.59311
spneumoniae.S_pseudosimplitigsAC.k_19.d_2	spneumoniae	pseudosimplitigsAC	19	2	80.20	3.60	74.51	97%	9688024	0	0	80.205731
spneumoniae.S_pseudosimplitigsAC.k_19.d_3	spneumoniae	pseudosimplitigsAC	19	3	89.75	3.85	83.57	97%	9688028	0	0	89.761416
spneumoniae.S_pseudosimplitigsAC.k_19.d_4	spneumoniae	pseudosimplitigsAC	19	4	96.99	5.10	89.59	97%	9687612	0	0	96.995018
spneumoniae.S_pseudosimplitigsAC.k_19.d_5	spneumoniae	pseudosimplitigsAC	19	5	90.84	4.44	84.39	97%	9687512	0	0	90.84861
spneumoniae.S_pseudosimplitigsAC.k_19.d_6	spneumoniae	pseudosimplitigsAC	19	6	93.31	4.29	86.96	97%	9687608	0	0	93.320763
spneumoniae.S_pseudosimplitigsAC.k_19.d_7	spneumoniae	pseudosimplitigsAC	19	7	93.30	4.04	86.86	97%	9688116	0	0	93.312552
spneumoniae.S_pseudosimplitigsAC.k_19.d_8	spneumoniae	pseudosimplitigsAC	19	8	89.15	4.05	82.95	97%	9688028	0	0	89.155427
spneumoniae.S_pseudosimplitigsAC.k_19.d_9	spneumoniae	pseudosimplitigsAC	19	9	83.76	3.43	78.27	97%	9688980	0	0	83.768149
spneumoniae.S_pseudosimplitigs.k_20.d_1	spneumoniae	pseudosimplitigs	20	1	14.78	0.24	12.51	86%	495700	0	0	14.79114
spneumoniae.S_pseudosimplitigs.k_20.d_10	spneumoniae	pseudosimplitigs	20	10	110.95	0.40	107.96	97%	497716	0	0	110.957067
spneumoniae.S_pseudosimplitigs.k_20.d_11	spneumoniae	pseudosimplitigs	20	11	401.41	25.49	357.90	95%	508876	14832	0	401.415712
spneumoniae.S_pseudosimplitigs.k_20.d_12	spneumoniae	pseudosimplitigs	20	12	1149.66	22.25	1117.10	99%	513744	7152	0	1149.668173
spneumoniae.S_pseudosimplitigs.k_20.d_2	spneumoniae	pseudosimplitigs	20	2	19.23	0.36	12.76	68%	497788	1424	0	19.243866
spneumoniae.S_pseudosimplitigs.k_20.d_3	spneumoniae	pseudosimplitigs	20	3	15.08	0.23	12.64	85%	497768	0	0	15.087513
spneumoniae.S_pseudosimplitigs.k_20.d_4	spneumoniae	pseudosimplitigs	20	4	15.74	0.56	12.96	85%	497724	0	0	15.746585
spneumoniae.S_pseudosimplitigs.k_20.d_5	spneumoniae	pseudosimplitigs	20	5	16.63	0.38	13.86	85%	497744	0	0	16.638065
spneumoniae.S_pseudosimplitigs.k_20.d_6	spneumoniae	pseudosimplitigs	20	6	15.73	0.25	13.28	86%	497816	0	0	15.735634
spneumoniae.S_pseudosimplitigs.k_20.d_7	spneumoniae	pseudosimplitigs	20	7	20.20	0.83	14.56	76%	497740	7616	0	20.210912
spneumoniae.S_pseudosimplitigs.k_20.d_8	spneumoniae	pseudosimplitigs	20	8	21.86	0.27	19.58	90%	495792	0	0	21.868555
spneumoniae.S_pseudosimplitigs.k_20.d_9	spneumoniae	pseudosimplitigs	20	9	39.78	0.36	37.21	94%	497740	0	0	39.789473
spneumoniae.S_pseudosimplitigsAC.k_20.d_1	spneumoniae	pseudosimplitigsAC	20	1	93.58	4.49	86.89	97%	10308548	0	0	93.588583
spneumoniae.S_pseudosimplitigsAC.k_20.d_10	spneumoniae	pseudosimplitigsAC	20	10	106.19	4.66	98.99	97%	10307864	0	0	106.204005
spneumoniae.S_pseudosimplitigsAC.k_20.d_11	spneumoniae	pseudosimplitigsAC	20	11	107.46	4.17	100.95	97%	10334312	0	0	107.46766
spneumoniae.S_pseudosimplitigsAC.k_20.d_12	spneumoniae	pseudosimplitigsAC	20	12	112.08	4.40	105.33	97%	10401068	0	0	112.084451
spneumoniae.S_pseudosimplitigsAC.k_20.d_2	spneumoniae	pseudosimplitigsAC	20	2	95.61	4.57	88.67	97%	10308692	0	0	95.622593
spneumoniae.S_pseudosimplitigsAC.k_20.d_3	spneumoniae	pseudosimplitigsAC	20	3	89.95	3.76	83.94	97%	10308668	0	0	89.962254
spneumoniae.S_pseudosimplitigsAC.k_20.d_4	spneumoniae	pseudosimplitigsAC	20	4	98.87	4.30	92.06	97%	10308676	0	0	98.880953
spneumoniae.S_pseudosimplitigsAC.k_20.d_5	spneumoniae	pseudosimplitigsAC	20	5	97.47	4.66	90.38	97%	10308696	0	0	97.480169
spneumoniae.S_pseudosimplitigsAC.k_20.d_6	spneumoniae	pseudosimplitigsAC	20	6	95.98	4.42	89.05	97%	10308708	0	0	95.989626
spneumoniae.S_pseudosimplitigsAC.k_20.d_7	spneumoniae	pseudosimplitigsAC	20	7	92.65	4.44	85.50	97%	10308492	0	0	92.655308
spneumoniae.S_pseudosimplitigsAC.k_20.d_8	spneumoniae	pseudosimplitigsAC	20	8	93.42	4.11	87.34	97%	10309280	0	0	93.430051
spneumoniae.S_pseudosimplitigsAC.k_20.d_9	spneumoniae	pseudosimplitigsAC	20	9	99.63	3.82	93.30	97%	10308700	0	0	99.639852
spneumoniae.S_pseudosimplitigs.k_21.d_1	spneumoniae	pseudosimplitigs	21	1	15.68	0.27	13.21	85%	498116	0	0	15.696341
spneumoniae.S_pseudosimplitigs.k_21.d_10	spneumoniae	pseudosimplitigs	21	10	111.46	2.00	104.46	95%	496144	1064	0	111.472402
spneumoniae.S_pseudosimplitigs.k_21.d_11	spneumoniae	pseudosimplitigs	21	11	356.54	1.52	352.17	99%	498108	0	0	356.548925
spneumoniae.S_pseudosimplitigs.k_21.d_12	spneumoniae	pseudosimplitigs	21	12	1215.60	10.99	1198.24	99%	498128	3288	0	1215.60827
spneumoniae.S_pseudosimplitigs.k_21.d_2	spneumoniae	pseudosimplitigs	21	2	15.11	0.24	12.67	85%	498064	0	0	15.119544
spneumoniae.S_pseudosimplitigs.k_21.d_3	spneumoniae	pseudosimplitigs	21	3	14.41	0.17	12.24	86%	498168	0	0	14.420051
spneumoniae.S_pseudosimplitigs.k_21.d_4	spneumoniae	pseudosimplitigs	21	4	17.89	0.51	14.99	86%	498156	0	0	17.899522
spneumoniae.S_pseudosimplitigs.k_21.d_5	spneumoniae	pseudosimplitigs	21	5	16.31	0.24	13.69	85%	498116	0	0	16.3151
spneumoniae.S_pseudosimplitigs.k_21.d_6	spneumoniae	pseudosimplitigs	21	6	18.56	0.37	15.69	86%	498096	0	0	18.56607
spneumoniae.S_pseudosimplitigs.k_21.d_7	spneumoniae	pseudosimplitigs	21	7	16.49	0.29	14.21	87%	498088	0	0	16.498555
spneumoniae.S_pseudosimplitigs.k_21.d_8	spneumoniae	pseudosimplitigs	21	8	28.95	5.18	19.02	83%	496072	6552	0	28.962373
spneumoniae.S_pseudosimplitigs.k_21.d_9	spneumoniae	pseudosimplitigs	21	9	38.42	0.42	35.47	93%	498104	0	0	38.426951
spneumoniae.S_pseudosimplitigsAC.k_21.d_1	spneumoniae	pseudosimplitigsAC	21	1	101.11	4.54	93.97	97%	10931160	0	0	101.115982
spneumoniae.S_pseudosimplitigsAC.k_21.d_10	spneumoniae	pseudosimplitigsAC	21	10	101.33	5.18	93.56	97%	10931456	0	0	101.339518
spneumoniae.S_pseudosimplitigsAC.k_21.d_11	spneumoniae	pseudosimplitigsAC	21	11	97.52	3.78	91.78	97%	10931424	0	0	97.533019
spneumoniae.S_pseudosimplitigsAC.k_21.d_12	spneumoniae	pseudosimplitigsAC	21	12	163.42	19.97	140.82	98%	10944064	0	0	163.427329
spneumoniae.S_pseudosimplitigsAC.k_21.d_2	spneumoniae	pseudosimplitigsAC	21	2	89.58	3.47	83.97	97%	10931072	0	0	89.592335
spneumoniae.S_pseudosimplitigsAC.k_21.d_3	spneumoniae	pseudosimplitigsAC	21	3	103.18	5.23	95.63	97%	10931148	0	0	103.188782
spneumoniae.S_pseudosimplitigsAC.k_21.d_4	spneumoniae	pseudosimplitigsAC	21	4	99.53	4.83	92.40	97%	10930876	0	0	99.540617
spneumoniae.S_pseudosimplitigsAC.k_21.d_5	spneumoniae	pseudosimplitigsAC	21	5	102.17	5.57	93.87	97%	10931536	0	0	102.184017
spneumoniae.S_pseudosimplitigsAC.k_21.d_6	spneumoniae	pseudosimplitigsAC	21	6	92.95	3.79	87.10	97%	10930068	0	0	92.957968
spneumoniae.S_pseudosimplitigsAC.k_21.d_7	spneumoniae	pseudosimplitigsAC	21	7	93.69	3.97	87.53	97%	10930012	0	0	93.699129
spneumoniae.S_pseudosimplitigsAC.k_21.d_8	spneumoniae	pseudosimplitigsAC	21	8	92.02	4.08	85.92	97%	10930276	0	0	92.0266
spneumoniae.S_pseudosimplitigsAC.k_21.d_9	spneumoniae	pseudosimplitigsAC	21	9	146.14	31.24	108.96	95%	10928428	2944	0	146.147814
spneumoniae-pangenome.S_pseudosimplitigs.k_2.d_1	spneumoniae-pangenome	pseudosimplitigs	2	1	1.07	0.01	0.80	76%	36200	0	0	1.07646
spneumoniae-pangenome.S_pseudosimplitigsAC.k_2.d_1	spneumoniae-pangenome	pseudosimplitigsAC	2	1	0.99	0.03	0.69	73%	36176	0	0	1.00343
spneumoniae-pangenome.S_pseudosimplitigs.k_3.d_1	spneumoniae-pangenome	pseudosimplitigs	3	1	1.00	0.04	0.62	65%	36244	0	0	1.008487
spneumoniae-pangenome.S_pseudosimplitigs.k_3.d_2	spneumoniae-pangenome	pseudosimplitigs	3	2	0.90	0.04	0.62	73%	34644	3288	0	0.914834
spneumoniae-pangenome.S_pseudosimplitigsAC.k_3.d_1	spneumoniae-pangenome	pseudosimplitigsAC	3	1	0.99	0.03	0.74	78%	36140	2784	0	0.997328
spneumoniae-pangenome.S_pseudosimplitigsAC.k_3.d_2	spneumoniae-pangenome	pseudosimplitigsAC	3	2	0.83	0.02	0.62	77%	36204	0	0	0.842665
spneumoniae-pangenome.S_pseudosimplitigs.k_4.d_1	spneumoniae-pangenome	pseudosimplitigs	4	1	1.22	0.02	0.92	77%	36208	88	0	1.233228
spneumoniae-pangenome.S_pseudosimplitigs.k_4.d_2	spneumoniae-pangenome	pseudosimplitigs	4	2	1.14	0.01	0.88	78%	36172	0	0	1.150901
spneumoniae-pangenome.S_pseudosimplitigs.k_4.d_3	spneumoniae-pangenome	pseudosimplitigs	4	3	1.03	0.02	0.73	73%	36128	0	0	1.042319
